,name,text,artist,style
0,Escola Proibida,"Criminoso, moleque mulherengo
Maquinado, bem trajado e mal elemento
Ô vida louca, louca, louca, valorizo a vida
E se eu for de golpe vai vim um novo mais louco ainda

Desde menor, a minha escola é minha favela
não tem recuperação pra quem for reprovado nela

A minha matemática, soma só resultado
diminuir aqui é motivo pra ser cobrado

Eu digo é necessidade? 
Né não, tô mentindo!

Porque já nasceu no sangue e já vem no instinto

Aqui é só lobo menor, uivando na montanha
e no meu prato principal só carne de piranha

E eu vou da um rolé, tacando fogo no balão

Palmeando de longe avistando esses alemão

Pinote de 66 é claro ninguém derruba
além de ser envolvido nós é piloto de fuga",mc-th,funk_carioca
0,Coração Tá Gelado,"Coração tá gelado
A maldade na mente
Vários ""fala"" a verdade mas tu gosta de quem mente
O certo te sufoca
O prazer tá no erro
Tu não consegue me esquecer
Isso te causa um desespero
Não sou jorge e mateus pra sossegar
Vivo naquele pique

Tô namorando a budweiser
Sou amante da skol beats
Quero que se exploda se o país está em crise
Ô desce uma, desce duas, desce três e desce quatro
Aproveita hoje, que o pai tá fácil

Tô namorando a budweiser
Sou amante da skol beats
Quero que se exploda se o país está em crise
Ô desce uma, desce duas, desce três e desce quatro
Aproveita hoje, que o dennis tá fácil
Th tá fácil
Que o pai tá fácil

Coração tá gelado
A maldade na mente
Vários ""fala"" a verdade mas tu gosta de quem mente
O certo te sufoca
O prazer tá no erro
Tu não consegue me esquecer
Isso te causa um desespero
Não sou jorge e mateus pra sossegar
Vivo naquele pique

Tô namorando a budweiser
Sou amante da skol beats
Quero que se exploda se o país está em crise
Ô desce uma, desce duas, desce três e desce quatro
Aproveita hoje, que o pai tá fácil

Tô namorando a budweiser
Sou amante da skol beats
Quero que se exploda se o país está em crise
Ô desce uma, desce duas, desce três e desce quatro
Aproveita hoje, que o dennis tá fácil
Th tá fácil
Que o pai tá fácil",mc-th,funk_carioca
0,Vidro Fumê,"Vidro fumê, rolando vários beck
Som no último volume, escutando Filipe Ret
Do jeito que ela gosta, hoje eu tô marrento demais
Os menor é sagaz elas que te satisfaz

Várias danadinha no contatinho do pai (3x)

Faz ela sentir prazer. Da linguada que ela se contrai!
O macete é tu deixar com gostinho de quero mais.

Várias danadinha no contatinho do pai (3x)

Dei um lance nela ontem, e hoje ligou querendo mais

Várias danadinha no contatinho do pai (3x)

Faz ela sentir prazer. Da linguada que ela se contrai!
O macete é tu deixar com gostinho de quero mais.

Várias danadinha no contatinho do pai (3x)

Dei um lance nela ontem, e hoje ligou querendo mais

Várias danadinha no contatinho do pai (3x)",mc-th,funk_carioca
0,Tipo Ginecologista,"Ela tava carente, duas palavras entrei na mente
Arrastei e dei um pente, qual o esquema ""bebê?""
Pergunta pras clientes. 

Tipo ginecologista de buceta nós entende 
Pergunta ela lá, se ela se arrepende
Tipo ginecologista de buceta nós entende

Tudo certo pra dar errado eu tô pronto pra jogar sujo
Boladão de pau duro (2x)

Olhou, deixou Cair um sorriso 
Vou comer essas mina Tudo
Boladão de pau duro (2x)

Estressada ela tava carente e saliente
Duas palavras entrei na mente
Arrastei e dei um pente

Pergunta ela lá, se ela se arrepende
Tipo ginecologista, de buceta nós entende

Tudo certo pra dar errado eu tô pronto pra jogar sujo
Boladão de pau duro (2x)

Olhou, deixou cair um sorriso 
Vou comer essas mina tudo
Boladão De Pau Duro",mc-th,funk_carioca
0,Aproveita Que a Mamadeira Ta Cheia,"Dia de semana é tenso
Pra tu vim com essas besteira
Pega a visão
Fim de semana é safadeza

Aproveita que a mamadeira ta cheia
Aproveita que a mamadeira ta cheia

Brotou na favela
Vai pro mal com a tropa inteira
Aproveita que mamadeira ta cheia

A tropa viu tu na máxima
Os cria pensou besteira
Os amigos que é envolvido
Falou, falou

Vai fazer mal com a tropa inteira
Aproveita que a mamadeira ta cheia
Aproveita que a mamadeira ta cheia
Aproveita que a mamadeira ta cheia

Deixa ela pensar
Que o dj ele é bobinho
Deixa ela pensar
Que th é mulekinho
Deixa ela pensar
Que os cria eles são bobinho

Mas vai gamar quando ele passar
Bem devagarinho
Mas vai gamar quando ele passar
Bem devagarinho

Deixa ela pensar
Que o dj ele é bobinho
Deixa ela pensar
Que th é mulekinho
Deixa ela pensar
Que os cria eles são bobinho

Mas vai gamar quando ele passar
Bem devagarinho
Mas vai gamar quando ele passar
Bem devagarinho",mc-th,funk_carioca
0,Rabetão no Chão (Com Mc Menininho),"As novinha da Zona Leste
É tudo de bom
As novinha da Zona Sul
É tudo de bom
As novinha da Zona Norte
É tudo de bom
As novinha lá da baixada
É tudo de bom

Olha pra cara da nossa tropa
Vai com o rabetão no chão
Vai com, vai com o rabetão
Vai com o rabetão no chão
Vai com, vai com o rabetão
Vai com o rabetão no chão
Vai com o rabetão no chão
Vai com o rabetão no chão

Vai, vai, vai, senta
Senta, senta
Vai senta, senta, senta
Vai senta, senta, senta
Vai senta, senta, senta, senta

Olha pra cara da nossa tropa
Vai com o rabetão no chão
Vai com, vai com o rabetão
Vai com o rabetão no chão
Vai com, vai com o rabetão
Vai com o rabetão no chão
Vai com o rabetão no chão
Vai com o rabetão no chão",mc-th,funk_carioca
0,Trem Louco (Baixada),"Aqui é o trem louco
Gestão inteligente
Neurótico leozinho, o piloto tá de frente
Tem ar tem ak 62 e glockada
Conhecidos em caxias como os enguiça barca

Tudo monitorado
Olha o que tô te falando
Quando passa na entrada os radinho tão avisando

Hoje é dia de baile
Tudo que eu sempre quis
Vem piranha da 25 e da vila são luiz

Elas faz faculdade
Também faz supletivo
Mas o que elas gostam mesmo
É de correr perigo

Se tá dois tá calmo
Se tá calmo tá lindo
Pode vir da onde for
Só pra dar pros amigos

Ela vem do parque
Vem dos dois irmão
Vem da mangueirinha
Vem lá do lixão
Vem da vila ideal, do corte 8, santuário

Tropa do vai quem quer tá com piranha pra caralho",mc-th,funk_carioca
0,Postura é lixo,"Fazer o que, nois é o bicho
Se parar pra contar nossa história rá, tu escreve um livro

várias em São Gonçalo chama ele de marido
várias em Niterói chama ele de marido
várias em Itaboraí, chama ele de Marido
várias la no Rio chama ele de marido

Ela vai sofrer, ela vai chorar e eu vou largar
É obvio isso !
mas nunca vai fuder com ninguém como fudeu comigo

várias no Martins Chama ele de marido
várias no Salgueiro chama ele de marido
várias na brasilia chama ele de marido

Os moleque tá de difícil
Postura é lixo

várias em São Gonçalo chama ele de marido
várias em Niterói cham ele de marido

Os moleque tá de difícil
Postura é lixo

várias no Martins Chama ele de marido
várias no Salgueiro chama ele de marido",mc-th,funk_carioca
0,Festa da Árvore,"To na mesma onda que você
Então não vem da uma de esperta
Inocente é o caralho, tá tudo tramado com a colega
Hoje é festa da árvore tá, só vai quem trepa

Hoje é festa da árvore tá, só vai quem trepa
Imagina nós sofrer a semana toda
E no fim de semana ser enganado por elas
Hoje é festa da árvore tá, só vai quem trepa

Hoje é festa da árvore tá, só vai quem trepa
Hoje é festa da árvore tá, só vai quem trepa
Hoje é festa da árvore tá, só vai quem trepa

Carinho conforto estrutura
Tudo proporcionado pra elas
Carinho conforto estrutura
Tudo proporcionado pra elas

Mas tem que rolar um roça
Mas tem que rolar um esfrega
Mas tem que rolar um rala
Mas tem que rolar um esfrega(2x)",mc-th,funk_carioca
0,Trem Louco,"Tudo monitorado
Olha o que tô te falando
Quando passa na entrada os radinho tão avisando

Hoje é dia de baile
Tudo que eu sempre quis
Vem piranha da 25 e da vila são luiz

Elas faz faculdade
Também faz supletivo
Mas o que elas gostam mesmo
É de correr perigo



Pode vir da onde for
Só pra dar pros amigos

Ela vem do parque
Vem dos dois irmão
Vem da mangueirinha",mc-th,funk_carioca
